cif,sgnum
7226496,2
7215594,9
2101963,14
7154039,14
1506234,29
7151587,2
2015669,14
1517440,14
2101110,1
7204880,1
1508877,2
4105182,4
4026498,4
1503651,2
5000009,4
4029009,2
4505800,2
4020750,4
2015322,14
4105893,4
4508471,2
2213865,2
4507988,14
4121363,4
4028575,14
2014887,4
2234078,7
4065225,2
7203293,14
1514326,2
4022345,2
2001769,14
4029462,11
7154629,2
7118889,14
2213624,4
4332494,14
7153629,19
7052848,4
7102158,7
2239150,19
7220119,2
7151577,4
4025788,2
4025298,2
2226415,2
7151387,29
4109988,7
4102039,2
7221610,4
2224930,14
4116372,2
1513565,2
1544050,14
4030997,4
7219318,144
2205500,11
4026881,4
7150501,2
1501913,2
7203265,18
7225353,2
2003370,11
2101905,19
7226238,14
2101089,4
2208414,2
7150034,19
7151815,2
7153982,2
4021814,19
2218183,4
7217020,2
7103002,14
7154011,2
4080575,62
7208905,2
4077995,2
4024209,2
7105955,7
2012267,14
2213958,9
4020302,1
7155026,1
7212126,14
7218766,2
7153969,2
7202554,2
4504253,2
1513458,4
7154416,29
4023177,14
7053128,14
2310123,14
2207725,4
2211363,4
4025361,2
4504831,1
7150037,2
4115279,2
4031812,4
2013814,2
2018584,14
2011698,2
4029070,19
7109667,14
7117482,2
4000134,2
4081667,2
7053222,2
4107817,2
4021848,2
2241084,14
4512799,2
4509412,14
2101976,2
7054721,4
4080105,4
4113216,2
4021846,2
7053095,14
7212665,2
4021663,4
2203126,4
4508439,14
2011375,62
4026754,2
1542951,2
7102897,2
7214360,14
2006354,14
4069142,14
1519905,2
2102798,2
2227480,2
1520153,14
7154724,4
2010885,4
1507463,14
7111201,2
7218413,2
2005171,4
7212663,2
8102103,1
4077966,14
1518057,14
7220022,14
1542891,2
1513955,2
7117457,2
4024226,4
2013612,2
1508608,2
4025175,2
7213156,14
4028375,2
4001062,2
4020174,4
2204130,2
4023085,4
2202678,2
4026407,4
2210951,2
4020932,14
4114247,2
4020281,2
2222226,9
7150292,2
1504948,2
7215124,14
7001656,14
2004094,4
2018306,2
4067707,2
1502975,36
7153038,4
2226071,14
2209780,14
7038911,4
7154804,2
7210752,2
4022633,19
2006135,2
7154609,9
4072174,19
9007519,19
1505509,2
7203481,2
2007153,14
4117594,19
2008381,2
7118331,2
1515617,2
2103890,2
4505816,2
1543862,4
2222930,14
7206488,14
7154331,14
1512367,2
7154084,29
7036058,4
4071997,14
4020603,2
1507617,4
4028256,19
7154922,4
4505682,2
4020664,2
1540482,4
4325398,4
7017744,14
4075611,2
2005354,29
4107219,4
1506095,14
2203109,14
2200227,14
4085650,2
2019898,2
4020276,14
2008366,14
7154766,2
1511805,14
4101841,4
7208269,2
1520159,62
1517925,4
2221827,14
2218833,14
1516081,2
2222407,2
2012991,2
2205224,2
7117624,2
4024035,14
7154938,14
2217771,14
7216545,31
7218782,4
7003676,4
4069120,2
2006823,14
4102673,4
4335263,2
8101221,2
2007015,2
7152830,4
4082698,14
7211302,14
2213149,2
2007914,2
7150365,2
7154908,2
2226811,14
4513000,14
2006748,2
2105586,2
4023913,29
2201928,14
7153163,4
2214780,4
2206112,19
1529280,14
2203540,4
4086042,5
4027840,144
7207490,14
2232576,2
7204362,4
2208349,2
7152987,4
7219929,14
2013641,19
9016039,14
2105105,19
2223455,2
4501921,2
1501866,1
4503650,2
2002075,14
7213502,2
4077149,2
7217714,2
7212709,1
7102297,2
1100661,2
4020047,2
4116150,14
1543147,4
7218991,2
1520185,14
2100914,14
4122617,14
7053273,14
2223716,4
2236498,4
1508793,14
2103891,2
7153254,14
4020820,4
7008343,14
2203943,4
7103365,14
4109025,2
2019482,4
4023570,2
7154377,4
1503261,1
1512377,14
4023190,62
4022041,14
2201329,4
7150130,14
7151179,14
4308614,114
7221735,2
2016306,2
2100385,14
2234992,4
7155270,14
4028709,1
2011562,14
4103805,4
4026401,14
2238090,2
7150089,4
1518301,2
7152227,2
2234403,2
7212974,14
1508311,14
1502101,2
2011802,4
7205148,1
2223751,19
4076329,2
4022177,2
4310088,14
1525589,62
4502295,2
4507995,2
7054439,2
2224982,19
7053274,14
7216972,2
4025693,76
2104411,92
2201159,14
7035975,2
2231622,14
7052198,2
2230263,14
2216316,2
2007854,2
4023963,4
4119011,4
2239452,2
2206319,2
2216893,19
7200699,33
1519257,56
4513320,14
7214795,2
4025583,4
2010292,2
2235980,2
7219794,14
4504006,14
4072293,2
7034619,2
1503811,4
2211046,14
7152906,4
7206859,2
2235213,14
7054487,2
4508022,14
4342362,33
2100671,14
7153151,2
1519975,1
4027838,14
2103888,2
2018812,2
7220202,61
7219686,7
1520162,14
2014007,2
4024078,2
2011779,1
7150890,2
2229580,14
4509974,14
2102826,9
1503403,2
4071491,2
7113087,14
4510271,19
1515088,14
4074249,2
4024925,4
7212871,2
7153352,19
2018173,14
7152291,14
2007670,4
4061207,2
1519496,1
1514663,14
7007145,2
1503614,4
7052830,29
2017595,2
7150644,2
1512325,2
2229637,2
1543010,2
7052009,2
4084008,2
7151614,2
2219569,2
4029508,2
1508923,4
7150289,2
4110435,14
4023480,14
4067543,2
4027729,2
7118284,14
7029718,5
4117035,14
7210539,2
4026467,4
7054717,2
2230021,2
2017244,2
2237964,4
7200313,2
2101959,14
7118017,2
8101969,4
7109153,2
4082178,2
1529473,2
7152382,19
2210061,14
2011649,4
1516763,14
4509150,1
2217760,4
2007982,14
4024510,2
1502962,2
4084692,2
7214425,29
4071000,2
4108581,4
1506009,2
2215154,2
4063769,2
7220702,2
4501793,4
4020009,19
1518906,5
2015376,14
2009826,33
4067243,2
2010839,92
7150711,14
1543061,14
4065630,4
7052197,4
2012082,4
1518943,4
2236213,2
1507257,2
4114134,14
4501204,2
2300573,19
7106604,2
1503550,2
4313493,15
4062543,2
2105111,19
4103544,2
2013013,2
2222158,2
4031960,2
2205490,2
2221391,11
4078424,2
2217606,14
1503103,2
4028004,2
7154306,4
1505203,2
7152620,2
4064894,2
2219736,4
7015873,2
7206434,2
2219309,2
1512588,4
1511933,4
7152414,2
7153607,2
1514245,19
7226160,29
1513447,4
7107011,4
4079767,2
1507325,5
4512707,2
2234878,2
7150719,2
1507302,2
4083950,2
1506088,14
4066750,14
4025238,4
4116822,15
7201832,14
2012509,29
4076719,2
2217464,4
1502276,19
4025877,2
1501685,11
7151882,14
4020464,14
1519569,4
7225200,2
7224034,2
4029563,4
1506838,2
2106750,14
2239734,2
4504086,2
2217820,4
4029244,2
4026074,14
7103354,2
7103946,2
4069583,2
2104165,19
2241138,2
2201876,14
4020752,2
7154599,2
2209718,14
7204769,2
4028814,2
2227127,4
2015857,2
4505817,2
7105644,4
2004605,33
2213115,5
7103003,2
1508159,2
2210704,14
4071183,15
4027596,14
4072764,1
4504371,20
7203480,2
4020016,14
1507393,1
7200244,14
1515094,14
2239460,121
2013200,2
2226629,14
1501963,1
7153434,4
7151002,14
7054723,4
4081467,2
1540378,4
2006750,14
4320726,2
7204156,14
7117584,2
1504534,2
1529421,4
7151830,2
1520189,14
4513126,2
7211140,2
2201557,114
2219120,2
4027327,2
2227450,4
1507172,2
4113695,2
2202869,14
2215317,4
7154493,19
2003405,4
2211006,14
4504544,14
2225586,14
2016191,14
7153207,4
2100171,2
4022704,4
7117575,2
7022013,2
4081966,14
8101994,2
4343841,14
1516002,2
2013148,2
7050362,2
7225354,2
2200618,19
7208860,2
7029303,2
4505805,2
1502093,2
4027732,147
4028486,14
4301580,14
2225295,2
4114902,4
4020382,2
4021213,2
4501762,14
7118019,2
2233150,2
7154337,2
4061354,2
8103228,2
7152739,2
4505843,11
7108670,29
4024681,2
4025480,2
2101269,14
4067488,2
7050147,14
4079818,2
1501886,2
4063914,2
4030962,2
4023681,2
2219970,159
7100618,1
2103904,2
2016352,14
4080783,2
2214481,2
2003728,2
7208834,14
4107020,4
2213026,7
7106099,2
7152455,4
7002371,2
2207714,5
7150256,14
7226227,4
7219795,19
4077151,2
7152593,2
4024030,14
7151503,4
1511810,14
4068068,2
4504543,14
2207550,2
2201433,14
1540616,2
4028160,4
4025699,14
2011525,14
2003736,14
1502326,2
4077297,2
2201569,7
1506771,2
4063169,4
1518439,19
4022632,4
4078907,2
7119153,14
2104161,19
4066473,14
1504238,2
4072069,2
4024043,4
4124403,1
4076627,2
2203815,14
4510539,2
2228621,2
1517483,2
1517787,4
1506277,2
4507991,14
7030435,2
4074843,2
1508629,14
7154747,14
4064236,14
7217125,14
1512630,14
1519318,2
2203172,4
7151843,4
4507897,2
7117379,4
4512806,2
4062099,15
2007884,14
7031555,14
7010761,2
4112822,4
1502132,2
2208840,2
4020866,2
1505100,14
2208260,2
4069611,4
4124725,14
1520759,2
4025318,14
4074944,2
1505610,14
7117272,2
2239166,2
1518436,19
4316752,14
7152263,14
1503591,14
4082417,4
