cif,a,b,c,alpha,beta,gamma,sg,cs
1000022,5.38,5.44,7.639,90.0,90.0,90.0,62,2
1000044,4.799,4.799,4.799,90.0,90.0,90.0,225,6
1000045,3.5862,3.5862,4.8801,90.0,90.0,120.0,164,4
1000050,3.634,3.634,3.634,90.0,90.0,90.0,221,6
1000051,5.487,5.487,9.156,90.0,90.0,120.0,160,4
1000053,4.217,4.217,4.217,90.0,90.0,90.0,225,6
1000056,5.97,8.125,10.48,90.0,90.0,90.0,74,2
1000058,4.4968,4.4968,3.1049,90.0,90.0,90.0,136,3
1000062,4.738,4.738,3.1865,90.0,90.0,90.0,136,3
1000063,4.252,4.252,4.252,90.0,90.0,90.0,224,6
1000067,4.6664,17.4435,4.9941,90.0,90.0,90.0,60,2
1000071,13.335,4.08,3.8362,90.0,90.0,90.0,71,2
1000075,6.9109,6.9109,4.3557,90.0,90.0,90.0,129,3
1000091,8.6633,8.6633,16.5252,90.0,90.0,90.0,87,3
1000094,7.13,4.791,8.825,90.16,102.13,94.19,2,0
1000096,20.44,20.44,20.44,90.0,90.0,90.0,203,6
1000108,7.8974,7.9076,14.7227,90.0,90.0,90.0,62,2
1000111,9.7308,4.2042,11.0656,90.0,105.781,90.0,12,1
1000113,6.83,9.233,8.817,90.0,90.0,90.0,29,2
1000115,12.872,12.872,4.9772,90.0,90.0,120.0,186,5
1000124,5.5703,6.6741,7.9032,96.174,90.26,101.273,2,0
1000134,10.176,10.176,8.4121,90.0,90.0,120.0,176,5
1000141,4.9005,8.4892,5.1816,90.0,90.0,90.0,52,2
1000147,11.882,6.983,6.942,90.0,125.59,90.0,11,1
1000148,7.9911,17.03189,5.3208,90.0,99.433,90.0,14,1
1000158,8.586,6.291,7.381,90.0,115.46,90.0,15,1
1000163,10.506,10.506,10.506,90.0,90.0,90.0,227,6
1000167,4.63,4.63,8.935,90.0,90.0,90.0,136,3
1000168,18.542,5.958,7.821,90.0,111.92,90.0,12,1
1000175,11.666,11.666,12.551,90.0,90.0,90.0,120,3
1000176,12.607,12.607,12.607,90.0,90.0,90.0,230,6
1000177,12.693,12.693,12.693,90.0,90.0,90.0,230,6
1000182,5.0875,5.0875,12.7319,90.0,90.0,90.0,140,3
1000184,8.684,8.684,4.657,90.0,90.0,120.0,150,4
1000191,5.892,10.632,6.745,90.0,105.88,90.0,13,1
1000205,7.363,17.527,5.484,90.0,91.5,90.0,14,1
1000215,10.695,9.932,5.654,90.0,118.53,90.0,15,1
1000216,10.695,9.932,5.654,90.0,118.53,90.0,9,1
1000229,6.182,6.182,12.957,90.0,90.0,120.0,163,4
1000230,7.475,10.766,6.594,90.0,90.0,90.0,44,2
1000231,7.451,10.747,6.524,90.0,90.0,90.0,44,2
1000232,12.124,7.344,6.924,90.0,120.59,90.0,15,1
1000233,3.867,3.867,7.656,90.0,90.0,90.0,99,3
1000235,10.491,8.09,7.997,90.0,90.0,90.0,60,2
1000236,10.257,10.257,10.257,90.0,90.0,90.0,199,6
1000239,4.679,4.679,9.324,90.0,90.0,90.0,102,3
1000242,6.523,6.523,5.831,90.0,90.0,90.0,127,3
1000245,7.793,7.7398,7.7435,86.585,87.046,86.138,2,0
1000251,5.662,5.809,8.758,90.0,90.0,90.0,74,2
1000252,7.541,7.501,13.027,90.0,90.52,90.0,15,1
